URLs,subdirectory1,subdirectory2,subdirectory3,subdirectory4
https://www.tradingview.com/chart/EURUSD/ZjnRu0ke-EURUSD-SCENARIOS-EXPLAINED-TRADING-PLAN/,chart,EURUSD,ZjnRu0ke-EURUSD-SCENARIOS-EXPLAINED-TRADING-PLAN,
https://www.tradingview.com/chart/TOTAL2/29hkNWvz-Altcoins-Bitcoin-Market-Comparison-Analysis/,chart,TOTAL2,29hkNWvz-Altcoins-Bitcoin-Market-Comparison-Analysis,
https://www.tradingview.com/chart/CN50USD/4KmfEZ2g-CHINA-50-ROCK-OR-BUST/,chart,CN50USD,4KmfEZ2g-CHINA-50-ROCK-OR-BUST,
https://www.tradingview.com/chart/GBPUSD/YdaxnJrY-GBP-USD-BREAKOUT-TO-UPSIDE/,chart,GBPUSD,YdaxnJrY-GBP-USD-BREAKOUT-TO-UPSIDE,
https://www.tradingview.com/chart/AMZN/CMFIbVQr-How-to-invert-your-chart/,chart,AMZN,CMFIbVQr-How-to-invert-your-chart,
https://www.tradingview.com/chart/SHOP/vqVydUSF-SHOP-Suffers-Possible-Key-Reversal-Day-After-Bubbly-Run/,chart,SHOP,vqVydUSF-SHOP-Suffers-Possible-Key-Reversal-Day-After-Bubbly-Run,
https://www.tradingview.com/chart/BTCUSD/vFilZDk0-The-recovery-of-the-market-Or-not-A-comparison-is-due/,chart,BTCUSD,vFilZDk0-The-recovery-of-the-market-Or-not-A-comparison-is-due,
https://www.tradingview.com/chart/BTCUSD/fJJtumE6-BTC-multi-timeframe-analysis/,chart,BTCUSD,fJJtumE6-BTC-multi-timeframe-analysis,
https://www.tradingview.com/chart/LBS1!/6MFvVbk0-Lumber-Bulls-Wood-Love-to-See-a-Break-Above-1/,chart,LBS1!,6MFvVbk0-Lumber-Bulls-Wood-Love-to-See-a-Break-Above-1,
https://www.tradingview.com/chart/BTCUSD/FQ9FUHvk-RISK-TO-REWARD-An-Educational-Write-up-on-How-to-Find-This/,chart,BTCUSD,FQ9FUHvk-RISK-TO-REWARD-An-Educational-Write-up-on-How-to-Find-This,
https://www.tradingview.com/chart/GBPUSD/JWtJbhQr-GBP-USD-GBPUSD-choppy-to-bullish-bias/,chart,GBPUSD,JWtJbhQr-GBP-USD-GBPUSD-choppy-to-bullish-bias,
https://www.tradingview.com/chart/NQ1!/0COmezBK-ridethepig-Nasdaq-Correction-Forming/,chart,NQ1!,0COmezBK-ridethepig-Nasdaq-Correction-Forming,
https://www.tradingview.com/chart/NEOBTC/dy5xKpdE-NEO-BTC-Weekly-Change-Descending-Channel-breakout/,chart,NEOBTC,dy5xKpdE-NEO-BTC-Weekly-Change-Descending-Channel-breakout,
https://www.tradingview.com/chart/LOW/4a9xzwa0-Lowe-s-climb-can-continue-on-strong-home-building-data/,chart,LOW,4a9xzwa0-Lowe-s-climb-can-continue-on-strong-home-building-data,
https://www.tradingview.com/chart/NZDUSD/oe3ae8HS-NZDJPY-Potential-Short-Trade/,chart,NZDUSD,oe3ae8HS-NZDJPY-Potential-Short-Trade,
https://www.tradingview.com/chart/XAGUSD/Vr1GuLoQ-XAGUSD-The-1W-Golden-Cross-may-be-the-opportunity-of-the-decade/,chart,XAGUSD,Vr1GuLoQ-XAGUSD-The-1W-Golden-Cross-may-be-the-opportunity-of-the-decade,
https://www.tradingview.com/chart/HG1!/l22V8RXK-Interest-Rates-Disconnected-from-Gundlach-Ratio/,chart,HG1!,l22V8RXK-Interest-Rates-Disconnected-from-Gundlach-Ratio,
https://www.tradingview.com/chart/USDCHF/lu9HPyiI-USD-CHF-4-Hour-Chart-Long-Position/,chart,USDCHF,lu9HPyiI-USD-CHF-4-Hour-Chart-Long-Position,
https://www.tradingview.com/chart/SPXUSD/jddDvgbH-SPX-and-the-Covid-Death-Numbers/,chart,SPXUSD,jddDvgbH-SPX-and-the-Covid-Death-Numbers,
https://www.tradingview.com/chart/GBPCHF/6qE5FTIj-GBPCHF-Trade-Analysis-Review/,chart,GBPCHF,6qE5FTIj-GBPCHF-Trade-Analysis-Review,
https://www.tradingview.com/chart/BTCUSD/0mQxgoR5-Bitcoin-vs-Tesla-still-on-bear-trend/,chart,BTCUSD,0mQxgoR5-Bitcoin-vs-Tesla-still-on-bear-trend,
https://www.tradingview.com/chart/GC1!/4nmphItt-On-the-way-to-the-next-Resistance-GOLD-Futures-by-ThinkingAntsOk/,chart,GC1!,4nmphItt-On-the-way-to-the-next-Resistance-GOLD-Futures-by-ThinkingAntsOk,
https://www.tradingview.com/chart/BTCUSD/LjYelNPZ-Look-At-That-Beautiful-Bitcoin-9-000-9-200-Range/,chart,BTCUSD,LjYelNPZ-Look-At-That-Beautiful-Bitcoin-9-000-9-200-Range,
https://www.tradingview.com/chart/BTCUSD/2rPGznAg-The-Next-Months-Will-Play-A-Crucial-Factor-In-Bitcoins-Fate/,chart,BTCUSD,2rPGznAg-The-Next-Months-Will-Play-A-Crucial-Factor-In-Bitcoins-Fate,
https://www.tradingview.com/chart/EURJPY/tf1zVVai-One-to-watch-on-Monday/,chart,EURJPY,tf1zVVai-One-to-watch-on-Monday,
